Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Acceptance),Custom field (Development),Custom field (Issue color),Custom field (Rank),Sprint,Custom field (Start date),Custom field (Story point estimate),Custom field (Team),Custom field (Vulnerability),Custom field (Vulnerability),Parent,Parent key,Parent summary,Status Category,Status Category Changed
TF-04 Tenancy scoping — department & branch,SCRUM-15,10048,Task,To Do,SCRUM,My Software Team,software,Ahmed Usama,5c799b6ac6a45773be60511a,,Highest,,,,Ahmed Usama,5c799b6ac6a45773be60511a,Ahmed Usama,5c799b6ac6a45773be60511a,29/Aug/26 12:01 AM,29/Aug/26 12:01 AM,29/Aug/26 1:55 AM,,,0,phase-1_foundation_feat-12.3_feat-12.4,"Every scoped record carries a department and branch, and every query filters on both. Retrofitting this is a rewrite of the data layer.",,,,0,0,0,,0,0,0,,"- department_id and branch_id present and NOT NULL on all scoped tables
- Scope inherited from the creating agent's profile on insert
- Every scoped column covered by an index
- Two seeded departments verified isolated
- Two seeded branches verified isolated
- Isolation verified by direct API call, not UI observation",,,0|i0003j:,,,5.0,,,,10037,SCRUM-6,Technical Foundation,To Do,
TF-05 Screen state coverage,SCRUM-16,10059,Task,To Do,SCRUM,My Software Team,software,Ahmed Usama,5c799b6ac6a45773be60511a,,Highest,,,,Ahmed Usama,5c799b6ac6a45773be60511a,Ahmed Usama,5c799b6ac6a45773be60511a,29/Aug/26 12:01 AM,29/Aug/26 12:01 AM,,,,0,phase-1_foundation,Every data-bearing screen handles all four states. The most common gap in generated UI.,,,,0,0,0,,0,0,0,,"- Loading skeleton renders while data is pending
- Contextual empty state with guidance renders when no records exist
- Error state with a retry action renders on failure
- Offline banner displays when connectivity is lost
- Each state verified in both themes and both locales",,,0|i0005z:,,,5.0,,,,10037,SCRUM-6,Technical Foundation,To Do,
US-002 Session persistence,SCRUM-18,10060,Story,To Do,SCRUM,My Software Team,software,Ahmed Usama,5c799b6ac6a45773be60511a,,Highest,,,,Ahmed Usama,5c799b6ac6a45773be60511a,Ahmed Usama,5c799b6ac6a45773be60511a,29/Aug/26 12:01 AM,29/Aug/26 2:00 AM,,,,0,phase-1_agent_feat-10.1_S01,"As an agent, I want to stay logged in so that I do not re-authenticate constantly.",,,,0,0,0,,0,0,0,,"- Given I am logged in, when I close and reopen the app, then my session resumes
- Given a session inactive over 30 days, when I open the app, then I am returned to Login
- Given I sign out, when the action completes, then all session and cached data are cleared",,,0|i00067:,SCRUM Sprint 1,,3.0,,,,10044,SCRUM-7,Authentication & Access Control,To Do,29/Aug/26 2:00 AM
US-003 Password reset,SCRUM-19,10049,Story,To Do,SCRUM,My Software Team,software,Ahmed Usama,5c799b6ac6a45773be60511a,,High,,,,Ahmed Usama,5c799b6ac6a45773be60511a,Ahmed Usama,5c799b6ac6a45773be60511a,29/Aug/26 12:01 AM,29/Aug/26 12:01 AM,,,,0,phase-1_agent_feat-10.1_S03,"As an agent, I want to reset a forgotten password so that I can regain access.",,,,0,0,0,,0,0,0,,"- Given I submit a registered email, when the request succeeds, then a reset email is sent
- Given I submit an unregistered email, when the request completes, then the same generic confirmation shows
- Given a reset link, when opened after expiry, then it is rejected",,,0|i0003r:,,,3.0,,,,10044,SCRUM-7,Authentication & Access Control,To Do,
US-004 Department and branch access isolation,SCRUM-20,10061,Story,To Do,SCRUM,My Software Team,software,Ahmed Usama,5c799b6ac6a45773be60511a,,Highest,,,,Ahmed Usama,5c799b6ac6a45773be60511a,Ahmed Usama,5c799b6ac6a45773be60511a,29/Aug/26 12:01 AM,29/Aug/26 2:00 AM,,,,0,phase-1_admin_feat-10.2,"As an administrator, I want access enforced in the database so that agents cannot reach another unit's data.",,,,0,0,0,,0,0,0,,"- Given an agent in department A, when they list tickets, then only department A tickets return
- Given an agent in branch X, when they list customers, then only branch X customers return
- Given a direct API call carrying another department's ID, when executed, then an empty set returns
- Given a storage object from another branch, when its URL is requested, then access is denied
- Given any permission rule, when traced, then it is enforced in RLS and not in client code",,,0|i0006f:,SCRUM Sprint 1,,8.0,,,,10044,SCRUM-7,Authentication & Access Control,To Do,29/Aug/26 2:00 AM
US-006 Create a customer,SCRUM-22,10050,Story,To Do,SCRUM,My Software Team,software,Ahmed Usama,5c799b6ac6a45773be60511a,,Highest,,,,Ahmed Usama,5c799b6ac6a45773be60511a,Ahmed Usama,5c799b6ac6a45773be60511a,29/Aug/26 12:01 AM,29/Aug/26 2:00 AM,,,,0,phase-1_agent_feat-1.1_feat-1.2_S13,"As an agent, I want to add a new customer so that I can log their request.",,,,0,0,0,,0,0,0,,"- Given required fields are complete, when I save, then the customer is created and opened
- Given a required field is empty, when I save, then validation blocks with a field-level message
- Given an invalid phone format, when I save, then it is rejected
- Given a phone already used in my branch, when I save, then a duplicate warning appears
- Given a save succeeds, when the record is written, then department and branch are inherited from me",,,0|i0003z:,SCRUM Sprint 1,,5.0,,,,10045,SCRUM-8,Customer Management,To Do,29/Aug/26 2:00 AM
US-007 Edit customer details,SCRUM-23,10063,Story,To Do,SCRUM,My Software Team,software,Ahmed Usama,5c799b6ac6a45773be60511a,,High,,,,Ahmed Usama,5c799b6ac6a45773be60511a,Ahmed Usama,5c799b6ac6a45773be60511a,29/Aug/26 12:01 AM,29/Aug/26 2:00 AM,,,,0,phase-1_agent_feat-1.2_S13,"As an agent, I want to update customer details so that records stay accurate.",,,,0,0,0,,0,0,0,,"- Given an existing customer, when I edit and save, then changes persist
- Given I add a secondary contact, when saved, then it appears on the profile
- Given I remove a secondary contact, when saved, then it no longer appears
- Given I edit a customer from another branch via API, when the call executes, then it is rejected",,,0|i0006v:,SCRUM Sprint 1,,3.0,,,,10045,SCRUM-8,Customer Management,To Do,29/Aug/26 2:00 AM
US-008 Customer profile view,SCRUM-24,10042,Story,To Do,SCRUM,My Software Team,software,Ahmed Usama,5c799b6ac6a45773be60511a,,Highest,,,,Ahmed Usama,5c799b6ac6a45773be60511a,Ahmed Usama,5c799b6ac6a45773be60511a,29/Aug/26 12:01 AM,29/Aug/26 2:00 AM,,,,0,phase-1_agent_feat-1.1_feat-1.2_S12,"As an agent, I want the customer's details in one place so that I have context.",,,,0,0,0,,0,0,0,,"- Given a customer, when I open their profile, then name, phone, email and secondary contacts display
- Given a phone number, when I tap it, then the dialler opens
- Given an email, when I tap it, then the mail client opens
- Given the profile, when displayed, then Info, Tickets and Notes tabs are present",,,0|i00027:,SCRUM Sprint 1,,3.0,,,,10045,SCRUM-8,Customer Management,To Do,29/Aug/26 2:00 AM
US-009 Customer interaction history,SCRUM-25,10043,Story,To Do,SCRUM,My Software Team,software,Ahmed Usama,5c799b6ac6a45773be60511a,,High,,,,Ahmed Usama,5c799b6ac6a45773be60511a,Ahmed Usama,5c799b6ac6a45773be60511a,29/Aug/26 12:01 AM,29/Aug/26 2:00 AM,,,,0,phase-1_agent_feat-1.3_S12,"As an agent, I want to see a customer's past tickets so that I understand their situation.",,,,0,0,0,,0,0,0,,"- Given a customer with tickets, when I open the Tickets tab, then all their tickets list newest first
- Given a closed ticket, when history renders, then it is still included
- Given a customer with no tickets, when the tab opens, then an empty state renders
- Given a history row, when I tap it, then that ticket opens",,,0|i0002f:,SCRUM Sprint 1,,3.0,,,,10045,SCRUM-8,Customer Management,To Do,29/Aug/26 2:00 AM
US-010 Customer notes and attachments,SCRUM-26,10068,Story,To Do,SCRUM,My Software Team,software,Ahmed Usama,5c799b6ac6a45773be60511a,,High,,,,Ahmed Usama,5c799b6ac6a45773be60511a,Ahmed Usama,5c799b6ac6a45773be60511a,29/Aug/26 12:01 AM,29/Aug/26 12:01 AM,,,,0,phase-1_agent_feat-1.4_S12_S14,"As an agent, I want to attach notes and files to a customer so that context is retained.",,,,0,0,0,,0,0,0,,"- Given a customer, when I add a note, then it saves with my name and timestamp
- Given I choose upload, when the sheet opens, then camera, gallery and file options are offered
- Given a file over 10MB, when I upload, then it is rejected with a clear message
- Given an uploaded image, when I tap it, then a full-screen viewer opens
- Given an attachment from another branch, when its URL is requested directly, then access is denied",,,0|i0007z:,,,5.0,,,,10045,SCRUM-8,Customer Management,To Do,
US-012 Create a ticket,SCRUM-28,10073,Story,To Do,SCRUM,My Software Team,software,Ahmed Usama,5c799b6ac6a45773be60511a,,Highest,,,,Ahmed Usama,5c799b6ac6a45773be60511a,Ahmed Usama,5c799b6ac6a45773be60511a,29/Aug/26 12:01 AM,29/Aug/26 2:00 AM,,,,0,phase-1_agent_feat-2.1_feat-2.2_S08,"As an agent, I want to create a ticket so that a customer request is tracked.",,,,0,0,0,,0,0,0,,"- Given I select a customer and complete required fields, when I save, then a ticket is created with status new
- Given a ticket is created, when saved, then a unique reference in format TKT-YYYYMM-NNNNN is generated
- Given a required field is empty, when I save, then validation blocks submission
- Given no priority is chosen, when I save, then medium is applied
- Given a ticket is created, when written, then a created event is recorded
- Given creation succeeds, when complete, then the new ticket opens",,,0|i00093:,SCRUM Sprint 1,,8.0,,,,10046,SCRUM-9,Ticket Management,To Do,29/Aug/26 2:00 AM
US-013 Create a customer inline during ticket creation,SCRUM-29,10052,Story,To Do,SCRUM,My Software Team,software,Ahmed Usama,5c799b6ac6a45773be60511a,,High,,,,Ahmed Usama,5c799b6ac6a45773be60511a,Ahmed Usama,5c799b6ac6a45773be60511a,29/Aug/26 12:01 AM,29/Aug/26 2:00 AM,,,,0,phase-1_agent_feat-1.1_feat-2.1_S08,"As an agent on a call with a new customer, I want to add them without leaving the form so that I do not lose my input.",,,,0,0,0,,0,0,0,,"- Given the customer picker, when no match is found, then a New customer action is offered
- Given I create a customer inline, when saved, then they are selected on the ticket form
- Given I create a customer inline, when I return, then previously entered ticket fields are preserved",,,0|i0004f:,SCRUM Sprint 1,,3.0,,,,10046,SCRUM-9,Ticket Management,To Do,29/Aug/26 2:00 AM
US-015 Post a public reply,SCRUM-31,10054,Story,To Do,SCRUM,My Software Team,software,Ahmed Usama,5c799b6ac6a45773be60511a,,Highest,,,,Ahmed Usama,5c799b6ac6a45773be60511a,Ahmed Usama,5c799b6ac6a45773be60511a,29/Aug/26 12:01 AM,29/Aug/26 2:00 AM,,,,0,phase-1_agent_feat-2.1_S07,"As an agent, I want to reply to the customer so that they receive an answer.",,,,0,0,0,,0,0,0,,"- Given the composer in public mode, when I send, then the message saves with is_internal false
- Given a public reply, when it renders, then it is visually distinct from internal notes
- Given a public reply, when the customer opens the status page, then it is visible
- Given an empty composer, when I attempt to send, then the action is blocked",,,0|i0004v:,SCRUM Sprint 1,,5.0,,,,10046,SCRUM-9,Ticket Management,To Do,29/Aug/26 2:00 AM
US-016 Post an internal note,SCRUM-32,10064,Story,To Do,SCRUM,My Software Team,software,Ahmed Usama,5c799b6ac6a45773be60511a,,Highest,,,,Ahmed Usama,5c799b6ac6a45773be60511a,Ahmed Usama,5c799b6ac6a45773be60511a,29/Aug/26 12:01 AM,29/Aug/26 2:00 AM,,,,0,phase-1_agent_feat-4.5_S07,"As an agent, I want to leave notes for colleagues so that we collaborate without exposing detail to the customer.",,,,0,0,0,,0,0,0,,"- Given the composer in internal mode, when I send, then the message saves with is_internal true
- Given the composer, when in internal mode, then the mode is indicated by color, icon and label together
- Given an internal note, when the customer opens the status page, then it is absent from the response payload
- Given an internal note, when a colleague in my department opens the ticket, then it is visible
- Given the messages table, when a row is inserted, then is_internal must be supplied explicitly",,,0|i00073:,SCRUM Sprint 1,,5.0,,,,10046,SCRUM-9,Ticket Management,To Do,29/Aug/26 2:00 AM
US-019 Ticket history timeline,SCRUM-35,10056,Story,To Do,SCRUM,My Software Team,software,Ahmed Usama,5c799b6ac6a45773be60511a,,High,,,,Ahmed Usama,5c799b6ac6a45773be60511a,Ahmed Usama,5c799b6ac6a45773be60511a,29/Aug/26 12:01 AM,29/Aug/26 2:00 AM,,,,0,phase-1_agent_feat-2.5_S07,"As an agent, I want to see everything that happened to a ticket so that I can audit its handling.",,,,0,0,0,,0,0,0,,"- Given a ticket, when I open the History segment, then all events display chronologically
- Given an event, when rendered, then actor, action and timestamp display
- Given a timestamp, when displayed, then it renders in device local time
- Given the history, when displayed, then no edit or delete affordance exists
- Given an update or delete attempted on ticket_events via API, when executed, then it is rejected",,,0|i0005b:,SCRUM Sprint 1,,3.0,,,,10046,SCRUM-9,Ticket Management,To Do,29/Aug/26 2:00 AM
US-029 Claim an unassigned ticket,SCRUM-36,10069,Story,To Do,SCRUM,My Software Team,software,Ahmed Usama,5c799b6ac6a45773be60511a,,High,,,,Ahmed Usama,5c799b6ac6a45773be60511a,Ahmed Usama,5c799b6ac6a45773be60511a,29/Aug/26 12:01 AM,29/Aug/26 2:00 AM,,,,0,phase-1_agent_feat-2.3_S05,"As an agent, I want to claim an unassigned ticket from Home so that I can pick up waiting work without navigating to the queue.",,,,0,0,0,,0,0,0,,"- Given an unassigned ticket on Home, when I tap Claim, then the ticket is assigned to me
- Given I claim a ticket, when the action completes, then it moves from the Unassigned list to My tickets
- Given I claim a ticket, when the counts refresh, then My open and Unassigned both update
- Given I claim a ticket, when it is saved, then an assigned event is recorded in the ticket history
- Given another agent claims a ticket first, when I tap Claim, then I am told it is already assigned",,,0|i00087:,SCRUM Sprint 1,,3.0,,,,10046,SCRUM-9,Ticket Management,To Do,29/Aug/26 2:00 AM
US-021 My tickets preview,SCRUM-38,10057,Story,To Do,SCRUM,My Software Team,software,Ahmed Usama,5c799b6ac6a45773be60511a,,High,,,,Ahmed Usama,5c799b6ac6a45773be60511a,Ahmed Usama,5c799b6ac6a45773be60511a,29/Aug/26 12:01 AM,29/Aug/26 2:00 AM,,,,0,phase-1_agent_feat-4.1_S05,"As an agent, I want a preview of my tickets on Home so that I can act without navigating.",,,,0,0,0,,0,0,0,,"- Given assigned tickets, when Home loads, then up to five display ordered by priority then age
- Given a preview row, when tapped, then that ticket opens
- Given a View all action, when tapped, then the Tickets tab opens filtered to Mine",,,0|i0005j:,SCRUM Sprint 1,,3.0,,,,10038,SCRUM-10,Agent Dashboard,To Do,29/Aug/26 2:00 AM
US-022 New ticket quick action,SCRUM-39,10070,Story,To Do,SCRUM,My Software Team,software,Ahmed Usama,5c799b6ac6a45773be60511a,,High,,,,Ahmed Usama,5c799b6ac6a45773be60511a,Ahmed Usama,5c799b6ac6a45773be60511a,29/Aug/26 12:01 AM,29/Aug/26 2:00 AM,,,,0,phase-1_agent_feat-4.1_S05,"As an agent, I want to start a ticket from anywhere so that I can capture a request during a call.",,,,0,0,0,,0,0,0,,"- Given Home or the Tickets tab, when displayed, then a New Ticket action is visible
- Given the action, when tapped, then the ticket creation screen opens",,,0|i0008f:,SCRUM Sprint 1,,2.0,,,,10038,SCRUM-10,Agent Dashboard,To Do,29/Aug/26 2:00 AM
US-023 Ticket confirmation notification,SCRUM-40,10065,Story,To Do,SCRUM,My Software Team,software,Ahmed Usama,5c799b6ac6a45773be60511a,,Highest,,,,Ahmed Usama,5c799b6ac6a45773be60511a,Ahmed Usama,5c799b6ac6a45773be60511a,29/Aug/26 12:01 AM,29/Aug/26 12:01 AM,,,,0,phase-1_customer_feat-3.1a,"As a customer, I want confirmation that my issue was logged so that I know it was received.",,,,0,0,0,,0,0,0,,"- Given a ticket is created, when the transaction commits, then a confirmation email is queued
- Given the email, when rendered, then it contains the reference number and a status link
- Given the customer locale is Arabic, when the email renders, then it displays correctly in RTL
- Given a send failure, when it occurs, then it is logged and retried up to three times
- Given a customer with no email, when a ticket is created, then creation still succeeds",,,0|i0007b:,,,5.0,,,,10058,SCRUM-11,Customer Notification Loop,To Do,
US-024 Status change notification,SCRUM-41,10066,Story,To Do,SCRUM,My Software Team,software,Ahmed Usama,5c799b6ac6a45773be60511a,,High,,,,Ahmed Usama,5c799b6ac6a45773be60511a,Ahmed Usama,5c799b6ac6a45773be60511a,29/Aug/26 12:01 AM,29/Aug/26 12:01 AM,,,,0,phase-1_customer_feat-3.1a_feat-5.4a,"As a customer, I want to be told when my issue is resolved so that I am not left waiting.",,,,0,0,0,,0,0,0,,"- Given a ticket moves to resolved, when saved, then a notification is sent to the customer
- Given a ticket moves to closed, when saved, then a closure message with a rating link is sent
- Given internal status changes such as new to open, when saved, then no customer notification is sent",,,0|i0007j:,,,3.0,,,,10058,SCRUM-11,Customer Notification Loop,To Do,
US-025 Magic-link status page,SCRUM-42,10071,Story,To Do,SCRUM,My Software Team,software,Ahmed Usama,5c799b6ac6a45773be60511a,,Highest,,,,Ahmed Usama,5c799b6ac6a45773be60511a,Ahmed Usama,5c799b6ac6a45773be60511a,29/Aug/26 12:01 AM,29/Aug/26 12:01 AM,,,,0,phase-1_customer_feat-8.2a_S16,"As a customer, I want to check my request status without an account so that tracking is effortless.",,,,0,0,0,,0,0,0,,"- Given a valid magic link, when opened, then the status page loads without authentication
- Given the page, when rendered, then reference, current status and public replies display
- Given an expired token, when the link is opened, then access is refused
- Given a tampered or invalid token, when submitted, then access is refused
- Given a token for ticket A, when used to request ticket B, then access is refused",,,0|i0008n:,,,5.0,,,,10058,SCRUM-11,Customer Notification Loop,To Do,
US-026 Status page data isolation,SCRUM-43,10067,Story,To Do,SCRUM,My Software Team,software,Ahmed Usama,5c799b6ac6a45773be60511a,,Highest,,,,Ahmed Usama,5c799b6ac6a45773be60511a,Ahmed Usama,5c799b6ac6a45773be60511a,29/Aug/26 12:01 AM,29/Aug/26 12:01 AM,,,,0,phase-1_customer_feat-8.2a_S16,"As a business, I want the status page to expose nothing internal so that customer trust is protected.",,,,0,0,0,,0,0,0,,"- Given the status page response, when inspected, then internal notes are absent from the payload
- Given the response, when inspected, then agent name and assignment are absent
- Given the response, when inspected, then internal priority and escalation data are absent
- Given the customer view, when queried, then it reads from a restricted view not base tables
- Given any other customer's ticket, when requested with a valid token, then access is refused",,,0|i0007r:,,,5.0,,,,10058,SCRUM-11,Customer Notification Loop,To Do,
